tpep_pickup_datetime,pickup_longitude,pickup_latitude
2016-01-03 08:00:02,-73.95500183105469,40.7802848815918
2016-01-03 08:00:02,-73.9882583618164,40.74857711791992
2016-01-03 08:00:03,-73.98827362060547,40.74101257324219
2016-01-03 08:00:04,0.0,0.0
2016-01-03 08:00:06,-73.9554214477539,40.7830810546875
2016-01-03 08:00:06,-73.99195861816406,40.7581443786621
2016-01-03 08:00:09,-73.97354125976561,40.78439331054688
2016-01-03 08:00:09,-73.79000091552734,40.6435432434082
2016-01-03 08:00:09,-73.97379302978516,40.791969299316406
2016-01-03 08:00:10,-73.99776458740233,40.7658805847168
2016-01-03 08:00:10,-74.01280212402342,40.70230865478516
2016-01-03 08:00:10,-73.97232055664062,40.748985290527344
2016-01-03 08:00:10,-73.97529602050781,40.76521682739258
2016-01-03 08:00:11,-73.974853515625,40.75056457519531
2016-01-03 08:00:12,-73.95196533203125,40.71492385864258
2016-01-03 08:00:13,-73.99750518798828,40.76527786254882
2016-01-03 08:00:13,-73.99236297607422,40.75695037841797
2016-01-03 08:00:14,-73.97953033447266,40.72735977172852
2016-01-03 08:00:16,-73.97672271728516,40.73944091796875
2016-01-03 08:00:16,-73.96202850341797,40.756046295166016
2016-01-03 08:00:16,-73.9462890625,40.79233169555664
2016-01-03 08:00:18,-73.95793151855469,40.76193237304688
2016-01-03 08:00:19,-73.9856719970703,40.741504669189446
2016-01-03 08:00:20,-73.96748352050781,40.75601959228516
2016-01-03 08:00:21,-73.98938751220702,40.748268127441406
2016-01-03 08:00:21,-74.00418853759764,40.72101974487305
2016-01-03 08:00:21,0.0,0.0
2016-01-03 08:00:24,-73.998779296875,40.72801208496094
2016-01-03 08:00:25,-73.78984069824217,40.64703369140625
2016-01-03 08:00:26,-73.78388977050781,40.64856719970703
2016-01-03 08:00:27,-73.9742431640625,40.764610290527344
2016-01-03 08:00:28,-73.96261596679686,40.67183303833008
2016-01-03 08:00:29,-73.98889923095702,40.76309967041016
2016-01-03 08:00:29,-73.94499206542967,40.78031539916992
2016-01-03 08:00:30,-73.97316741943358,40.7930908203125
2016-01-03 08:00:32,-73.97897338867188,40.78719329833984
2016-01-03 08:00:32,-73.98252868652342,40.761375427246094
2016-01-03 08:00:33,-73.88256072998048,40.768436431884766
2016-01-03 08:00:33,-73.99401092529298,40.76136016845703
2016-01-03 08:00:33,-73.91676330566406,40.83747863769531
2016-01-03 08:00:34,-73.97561645507811,40.78199768066406
2016-01-03 08:00:37,-73.90090179443358,40.74128723144531
2016-01-03 08:00:37,-74.00945281982422,40.70649337768555
2016-01-03 08:00:38,-73.97083282470702,40.762031555175774
2016-01-03 08:00:38,-73.95394897460938,40.77875518798828
2016-01-03 08:00:39,-73.98479461669923,40.76577377319336
2016-01-03 08:00:41,-73.95755767822266,40.64315032958984
2016-01-03 08:00:42,-73.97816467285155,40.7648811340332
2016-01-03 08:00:43,-73.87150573730467,40.77414321899414
2016-01-03 08:00:43,-74.00321960449219,40.70766067504882
2016-01-03 08:00:45,-73.97951507568358,40.73546600341797
2016-01-03 08:00:46,-73.98052978515625,40.78256988525391
2016-01-03 08:00:47,-73.98211669921875,40.77876663208008
2016-01-03 08:00:47,-73.78971099853516,40.643653869628906
2016-01-03 08:00:48,-73.78341674804686,40.64863204956056
2016-01-03 08:00:48,-73.99176788330078,40.71626663208008
2016-01-03 08:00:48,-73.98919677734375,40.72554397583008
2016-01-03 08:00:48,-73.97630310058595,40.732421875
2016-01-03 08:00:49,-73.98280334472656,40.767913818359375
2016-01-03 08:00:50,-73.7895278930664,40.64603805541992
2016-01-03 08:00:51,-73.78360748291014,40.64867401123047
2016-01-03 08:00:52,-74.00006103515625,40.738887786865234
2016-01-03 08:00:53,-73.98491668701173,40.72798538208008
2016-01-03 08:00:53,-73.95427703857422,40.77463912963867
2016-01-03 08:00:54,0.0,0.0
2016-01-03 08:00:54,-73.9836196899414,40.78068161010742
2016-01-03 08:00:55,-73.94629669189453,40.777626037597656
2016-01-03 08:00:55,-73.95781707763672,40.760929107666016
2016-01-03 08:00:56,-73.98847198486328,40.7549285888672
2016-01-03 08:00:58,-73.93526458740233,40.80060958862305
2016-01-03 08:00:58,-73.99732971191406,40.74696350097656
2016-01-03 08:00:58,-73.99147033691406,40.745071411132805
2016-01-03 08:01:00,-73.97348022460938,40.75709533691406
2016-01-03 08:01:03,-73.97171020507811,40.79191970825195
2016-01-03 08:01:07,-73.97431182861328,40.74210357666016
2016-01-03 08:01:08,-73.95465850830078,40.77069854736328
2016-01-03 08:01:08,-73.9827423095703,40.764961242675774
2016-01-03 08:01:09,-73.96887969970702,40.79852294921875
2016-01-03 08:01:09,-73.78584289550781,40.64664459228516
2016-01-03 08:01:10,-73.98361206054686,40.73087310791016
2016-01-03 08:01:10,-73.77279663085938,40.71528244018555
2016-01-03 08:01:11,-73.94208526611328,40.79133987426758
2016-01-03 08:01:11,0.0,0.0
2016-01-03 08:01:11,-73.9792709350586,40.74402618408203
2016-01-03 08:01:11,-73.95035552978516,40.80236053466797
2016-01-03 08:01:13,-73.98020172119139,40.78382873535156
2016-01-03 08:01:14,-73.98417663574217,40.781097412109375
2016-01-03 08:01:14,-73.95259094238281,40.78382873535156
2016-01-03 08:01:15,-73.97007751464845,40.756023406982415
2016-01-03 08:01:15,-73.95147705078125,40.77876663208008
2016-01-03 08:01:15,-73.8709487915039,40.77381896972656
2016-01-03 08:01:15,-73.9619598388672,40.779544830322266
2016-01-03 08:01:16,-73.97209930419923,40.79182434082031
